iteration,fitness,precision,fscore,itime
0,0.9993705367801871,0.019627749576988207,0.038499367257358245,2777
1,0.9935751340322546,0.028307336799537786,0.055046381080993294,10087
2,0.9935751340322546,0.028307336799537786,0.055046381080993294,10049
3,0.9935751340322546,0.028307336799537786,0.055046381080993294,10045
p,p,p,p,p
4,0.9993705367801871,0.019627749576988207,0.038499367257358245,20113
5,0.9935751340322546,0.028307336799537786,0.055046381080993294,10071
6,0.9935751340322546,0.028307336799537786,0.055046381080993294,10040
7,0.9935751340322546,0.028307336799537786,0.055046381080993294,10043
p,p,p,p,p
8,0.9993705367801871,0.019627749576988207,0.038499367257358245,20098
9,0.9935751340322546,0.028307336799537786,0.055046381080993294,10066
10,0.9935751340322546,0.028307336799537786,0.055046381080993294,10047
11,0.9935751340322546,0.028307336799537786,0.055046381080993294,10032
p,p,p,p,p
12,0.9993705367801871,0.019627749576988207,0.038499367257358245,20091
13,0.9935751340322546,0.028307336799537786,0.055046381080993294,10074
14,0.9935751340322546,0.028307336799537786,0.055046381080993294,10037
15,0.9935751340322546,0.028307336799537786,0.055046381080993294,10039
p,p,p,p,p
16,0.9993705367801871,0.019627749576988207,0.038499367257358245,20049
17,0.9935751340322546,0.028307336799537786,0.055046381080993294,10046
18,0.9935751340322546,0.028307336799537786,0.055046381080993294,10026
19,0.9935751340322546,0.028307336799537786,0.055046381080993294,10045
p,p,p,p,p
20,0.9993705367801871,0.019627749576988207,0.038499367257358245,20093
21,0.9935751340322546,0.028307336799537786,0.055046381080993294,10037
22,0.9935751340322546,0.028307336799537786,0.055046381080993294,10054
23,0.9935751340322546,0.028307336799537786,0.055046381080993294,10043
p,p,p,p,p
0,1,304.234
0.038499367257358245,0.055046381080993294,304.234
