iteration,fitness,precision,fscore,itime
0,0.9929624441331466,0.036305732484076425,0.07005021564334152,11446
1,0.3650190114068441,0.17982456140350878,0.24094762939610054,637
2,0.3650190114068441,0.17982456140350878,0.24094762939610054,198
3,0.3650190114068441,0.17982456140350878,0.24094762939610054,185
4,0.3650190114068441,0.17982456140350878,0.24094762939610054,50
p,p,p,p,p
5,0.9950637048896004,0.02298850574712641,0.044938810523881885,49034
6,0.9950637048896004,0.02298850574712641,0.044938810523881885,148
7,0.9950637048896004,0.02298850574712641,0.044938810523881885,153
p,p,p,p,p
8,0.9950637048896004,0.02298850574712641,0.044938810523881885,6880
9,0.9950637048896004,0.02298850574712641,0.044938810523881885,165
10,0.9950637048896004,0.02298850574712641,0.044938810523881885,57
p,p,p,p,p
11,0.9950637048896004,0.02298850574712641,0.044938810523881885,6168
12,0.9950637048896004,0.02298850574712641,0.044938810523881885,68
13,0.9950637048896004,0.02298850574712641,0.044938810523881885,74
p,p,p,p,p
14,0.9950637048896004,0.02298850574712641,0.044938810523881885,20862
15,0.9950637048896004,0.02298850574712641,0.044938810523881885,47
16,0.9950637048896004,0.02298850574712641,0.044938810523881885,142
p,p,p,p,p
17,0.9950637048896004,0.02298850574712641,0.044938810523881885,8401
18,0.9950637048896004,0.02298850574712641,0.044938810523881885,173
19,0.9950637048896004,0.02298850574712641,0.044938810523881885,60
p,p,p,p,p
20,0.9950637048896004,0.02298850574712641,0.044938810523881885,4180
21,0.9950637048896004,0.02298850574712641,0.044938810523881885,44
22,0.9950637048896004,0.02298850574712641,0.044938810523881885,50
p,p,p,p,p
23,0.9950637048896004,0.02298850574712641,0.044938810523881885,4201
24,0.9950637048896004,0.02298850574712641,0.044938810523881885,37
25,0.9950637048896004,0.02298850574712641,0.044938810523881885,21
p,p,p,p,p
26,0.9950637048896004,0.02298850574712641,0.044938810523881885,8265
27,0.9950637048896004,0.02298850574712641,0.044938810523881885,121
28,0.9950637048896004,0.02298850574712641,0.044938810523881885,17
p,p,p,p,p
29,0.9950637048896004,0.02298850574712641,0.044938810523881885,8152
30,0.9950637048896004,0.02298850574712641,0.044938810523881885,99
31,0.9950637048896004,0.02298850574712641,0.044938810523881885,37
p,p,p,p,p
32,0.9950637048896004,0.02298850574712641,0.044938810523881885,6312
33,0.9950637048896004,0.02298850574712641,0.044938810523881885,36
34,0.9950637048896004,0.02298850574712641,0.044938810523881885,31
p,p,p,p,p
35,0.9950637048896004,0.02298850574712641,0.044938810523881885,10104
36,0.9950637048896004,0.02298850574712641,0.044938810523881885,55
37,0.9950637048896004,0.02298850574712641,0.044938810523881885,41
p,p,p,p,p
38,0.9950637048896004,0.02298850574712641,0.044938810523881885,4095
39,0.9950637048896004,0.02298850574712641,0.044938810523881885,15
40,0.9950637048896004,0.02298850574712641,0.044938810523881885,82
p,p,p,p,p
41,0.9950637048896004,0.02298850574712641,0.044938810523881885,12315
42,0.9950637048896004,0.02298850574712641,0.044938810523881885,28
43,0.9950637048896004,0.02298850574712641,0.044938810523881885,188
p,p,p,p,p
44,0.9950637048896004,0.02298850574712641,0.044938810523881885,8532
45,0.9950637048896004,0.02298850574712641,0.044938810523881885,14
46,0.9950637048896004,0.02298850574712641,0.044938810523881885,17
p,p,p,p,p
47,0.9950637048896004,0.02298850574712641,0.044938810523881885,8233
48,0.9950637048896004,0.02298850574712641,0.044938810523881885,64
49,0.9950637048896004,0.02298850574712641,0.044938810523881885,186
p,p,p,p,p
0,1,188.944
0.07005021564334152,0.24094762939610054,188.944
